iter	Logloss
443	0.2916635142
444	0.2915699921
445	0.2914685534
446	0.2914040926
447	0.2912786533
448	0.2910131939
449	0.2909854605
450	0.2908532569
451	0.2907257382
452	0.2907118089
453	0.2905464604
454	0.2904615315
455	0.2904510594
456	0.2902402152
457	0.2901294317
458	0.2899679414
459	0.2899049587
460	0.2897852565
461	0.2896325347
462	0.2894727731
463	0.2892580456
464	0.2892520831
465	0.2892431392
466	0.2890874361
467	0.2889379712
468	0.2889163005
469	0.2887124961
470	0.2885942469
471	0.2884114117
472	0.2882111397
473	0.2881204486
474	0.2880429603
475	0.2879619396
476	0.2879031658
477	0.2878065873
478	0.2877868707
479	0.2876072673
480	0.2875206347
481	0.2873699673
482	0.2872928548
483	0.2871411351
484	0.2870188524
485	0.2867672723
486	0.2866770071
487	0.2865874434
488	0.2865159177
489	0.2863616927
490	0.2862886388
491	0.2861137954
492	0.2860270626
493	0.2859138992
494	0.285838841
495	0.2857662881
496	0.2856388196
497	0.2855783922
498	0.285471993
499	0.2853448
500	0.2852704935
501	0.2852005461
502	0.2850777874
503	0.2850088922
504	0.2847625231
505	0.2846623621
506	0.2844841365
507	0.2844118592
508	0.2842083805
509	0.2841543917
510	0.2840429068
511	0.2838709445
512	0.2838354447
513	0.2837748921
514	0.2837710841
515	0.2837002097
516	0.2835693339
517	0.2833760266
518	0.283300267
519	0.2831535829
520	0.2831098407
521	0.2830247364
522	0.282870762
523	0.2828428782
524	0.2827098479
525	0.2826731205
526	0.2826155492
527	0.2824047551
528	0.2823253127
529	0.2822261287
530	0.2821751964
531	0.2820154347
532	0.2818785964
533	0.2816830594
534	0.2815991826
535	0.2814825369
536	0.2814690585
537	0.2814543775
538	0.2812972214
539	0.2812804861
540	0.2811356309
541	0.2811083484
542	0.2810467436
543	0.2810304593
544	0.2809342315
545	0.2808669147
546	0.2807475131
547	0.2805648281
548	0.2805289275
549	0.2804504121
550	0.2803697421
551	0.2802317513
552	0.2801334943
553	0.2800725158
554	0.2800133411
555	0.2799564462
556	0.2797968099
557	0.2795966381
558	0.2794826729
559	0.279430989
560	0.2793559559
561	0.2793344356
562	0.2792938501
563	0.2791721186
564	0.2790665211
565	0.2789131479
566	0.2788806795
567	0.2787976545
568	0.2787142789
569	0.2786414003
570	0.2785811984
571	0.2784515753
572	0.278329468
573	0.2783012085
574	0.2782303091
575	0.2781110077
576	0.2780336948
577	0.2779885246
578	0.2779447073
579	0.2779242141
580	0.2778433688
581	0.2777203095
582	0.2775816423
583	0.277505081
584	0.2774214297
585	0.2773539375
586	0.2772828627
587	0.2771131301
588	0.2769659449
589	0.2768868282
590	0.2768755044
591	0.2768137743
592	0.2767693808
593	0.2767104566
594	0.2765916563
595	0.2765529998
596	0.2763712168
597	0.2763600182
598	0.2762541201
599	0.2762201986
600	0.2761264009
601	0.27601915
602	0.2759335195
603	0.2758489664
604	0.2758320808
605	0.2757954787
606	0.2757103242
607	0.2756350406
608	0.2756197834
609	0.2755643667
610	0.2755078225
611	0.2754147514
612	0.2752826481
613	0.2751193039
614	0.2750518367
615	0.2749856723
616	0.2749078333
617	0.2747351695
618	0.274573579
619	0.2745171852
620	0.2744092828
621	0.2742918854
622	0.274086177
623	0.2740411822
624	0.2739576562
625	0.2739144902
626	0.2738320415
627	0.2737127151
628	0.2736632358
629	0.273575526
630	0.2734794485
631	0.2733022001
632	0.2731933958
633	0.2729707767
634	0.272942417
635	0.2729290137
636	0.2727559741
637	0.2727167164
638	0.2726688906
639	0.2726612245
640	0.2725611386
641	0.272425603
642	0.2723763993
643	0.272361518
644	0.2722477282
645	0.2721355669
646	0.2720322492
647	0.2718231085
648	0.2717506809
649	0.2717243003
650	0.2716328576
651	0.2715979841
652	0.2715632609
653	0.2714119171
654	0.2712908369
655	0.2711667755
656	0.2710661635
657	0.2708429181
658	0.2707624987
659	0.2705924153
660	0.2705183091
661	0.2704123108
662	0.2703230477
663	0.2701850319
664	0.2700839439
665	0.2700622482
666	0.269962964
667	0.2698751539
668	0.2697474849
669	0.2695795811
670	0.2695474134
671	0.2694826018
672	0.2693301055
673	0.269186077
674	0.2691127976
675	0.2689822976
676	0.268947349
677	0.2687785934
678	0.2686736723
679	0.2686447363
680	0.2686062803
681	0.2684563644
682	0.2684512286
683	0.268384964
684	0.2682521842
685	0.268138219
686	0.2680936752
687	0.2680683969
688	0.2679211366
689	0.267860559
690	0.2678177688
691	0.2677055323
692	0.267536426
693	0.2675080412
694	0.2674156966
695	0.2673663677
696	0.2672308321
697	0.2670506023
698	0.2669708593
699	0.26691186
700	0.2668518084
701	0.2668326932
702	0.2667015669
703	0.2665899818
704	0.2665675846
705	0.2664797244
706	0.2663609993
707	0.2663160546
708	0.2661897384
709	0.2661103211
710	0.2660733431
711	0.2659460499
712	0.2658764783
713	0.2657522165
714	0.2657188462
715	0.2655774482
716	0.2655358606
717	0.2654491279
718	0.2653394718
719	0.2653273463
720	0.265258877
721	0.2651785577
722	0.265049611
723	0.26501589
724	0.2649094156
725	0.264885365
726	0.2648406457
727	0.2647870829
728	0.2646182271
729	0.2645858589
730	0.2645471774
731	0.2644371956
732	0.2642799894
733	0.2642080879
734	0.2641630179
735	0.2641283949
736	0.2640431654
737	0.2640283842
738	0.2638297657
739	0.2637285023
740	0.2636998419
741	0.2636124578
742	0.2635652333
743	0.26355654
744	0.2634287958
745	0.2633367769
746	0.2632966424
747	0.2631777168
748	0.263033062
749	0.2629292182
750	0.2627742917
751	0.2626274323
752	0.262558487
753	0.2625263443
754	0.262414684
755	0.2623897064
756	0.2623369201
757	0.2622953826
758	0.2622761922
759	0.2621195872
760	0.2621032528
761	0.2620621161
762	0.261902154
763	0.2618149703
764	0.2617802221
765	0.2617045376
766	0.2615897708
767	0.2615457531
768	0.2614057581
769	0.2612852041
770	0.2611186782
771	0.2610811741
772	0.2610496076
773	0.2610161371
774	0.2609313585
775	0.2609233917
776	0.2608770691
777	0.2608483836
778	0.2608237818
779	0.2606841375
780	0.2606770226
781	0.2606257896
782	0.2605788156
783	0.2605513578
784	0.2604758737
785	0.2604276972
786	0.2603866106
787	0.2603204963
788	0.2601878167
789	0.2601102533
790	0.2600901359
791	0.2599958372
792	0.2599007368
793	0.259836727
794	0.2596805729
795	0.2596363047
796	0.2595829923
797	0.2595573884
798	0.259502147
799	0.2594942804
800	0.2592518195
801	0.2591484016
802	0.2591213696
803	0.259032808
804	0.258971078
805	0.2589648398
806	0.2588091868
807	0.2587764679
808	0.2587497616
809	0.2586991049
810	0.2586625529
811	0.2585545002
812	0.2585346083
813	0.258366003
814	0.2583098597
815	0.2582317702
816	0.2581577141
817	0.2580771193
818	0.2579990548
819	0.2579451162
820	0.2578981923
821	0.2578568301
822	0.2577897388
823	0.2576605666
824	0.2575021327
825	0.2573217527
826	0.2572104181
827	0.257167678
828	0.2570653624
829	0.2570233238
830	0.256993511
831	0.2569630969
832	0.2568367557
833	0.256742908
834	0.2566738875
835	0.2566658707
836	0.2565999067
837	0.256581568
838	0.2565559641
839	0.2565344688
840	0.2564969146
841	0.2564768975
842	0.2563488527
843	0.2560891304
844	0.2559788731
845	0.2558284812
846	0.2557682793
847	0.2557099564
848	0.2555827384
849	0.2554541424
850	0.2554066173
851	0.2552671234
852	0.255156841
853	0.2551329657
854	0.2551267776
855	0.2549989333
856	0.2548801079
857	0.2548344617
858	0.2546862744
859	0.2546174795
860	0.2544792132
861	0.2542309651
862	0.2541204071
863	0.2540279623
864	0.2539358182
865	0.253903951
866	0.2538148132
867	0.2537721483
868	0.2536807808
869	0.2536417736
870	0.25362346
871	0.2535607028
872	0.2535463726
873	0.2534845423
874	0.2534515979
875	0.2534148204
876	0.2533710281
877	0.2533006799
878	0.2532336887
879	0.2531965354
880	0.2529648723
881	0.2528705986
882	0.2528089437
883	0.2526677713
884	0.2525202855
885	0.2524475322
886	0.2523625281
887	0.2523265523
888	0.2523241472
889	0.2523006226
890	0.2521887369
891	0.252113353
892	0.2520757488
893	0.2520425789
894	0.2520021187
895	0.2519257077
896	0.2518911599
897	0.251888855
898	0.2518039261
899	0.2517899215
900	0.2517011595
901	0.2516560394
902	0.2515968397
903	0.2515818331
904	0.2515713861
905	0.2514663898
906	0.2514378046
907	0.2513666046
908	0.2513085823
909	0.2512139329
910	0.2511479939
911	0.2511093375
912	0.2510386135
913	0.2509445903
914	0.2508007372
915	0.2506888264
916	0.2506163237
917	0.2505806986
918	0.2504842454
919	0.2504430085
920	0.2503379621
921	0.2502712465
922	0.2500879854
923	0.2500129022
924	0.2498714291
925	0.2497350668
926	0.249668727
927	0.2496118571
928	0.2495181096
929	0.249389188
930	0.2493834258
931	0.2493790666
932	0.2492534018
933	0.2490870012
934	0.2489712323
935	0.248931223
936	0.2488057586
937	0.2486964533
938	0.2485458109
939	0.2484602055
940	0.2483792098
941	0.2483510505
942	0.2482694035
943	0.2481544863
944	0.2481052826
945	0.2480838375
946	0.2479624066
947	0.2478526503
948	0.2477054401
949	0.2476197596
950	0.2475989658
951	0.2475563009
952	0.2474794389
953	0.2472890628
954	0.2472632083
955	0.2472168606
956	0.2470933003
957	0.2470302424
958	0.2469433092
959	0.2468746396
960	0.2467938944
961	0.2466620165
962	0.246549279
963	0.2465430909
964	0.24652365
965	0.2465178127
966	0.2463182923
967	0.2461778213
968	0.2461162666
969	0.2460548622
970	0.245978827
971	0.2459417238
972	0.2458493041
973	0.2457852942
974	0.2456090729
975	0.2455798613
976	0.2455285031
977	0.2454846357
978	0.2454094022
979	0.245347622
980	0.2452829858
981	0.2452113849
982	0.2451921444
983	0.2451444439
984	0.2450692354
985	0.2450015428
986	0.2448709676
987	0.2448122439
988	0.2447639922
989	0.2445777999
990	0.2445571063
991	0.2445148422
992	0.2444925452
993	0.2444890629
994	0.2444494795
995	0.2443557069
996	0.2443275476
997	0.2442627611
998	0.2441694394
999	0.2440958844
